symbol,date,price
LNUG,20170320,0
LNUG,20170321,0
LNUG,20170322,0
LNUG,20170323,0
LNUG,20170324,0
LNUG,20170325,0
LNUG,20170326,0
LNUG,20170327,0
LNUG,20170328,0
LNUG,20170329,0
LNUG,20170330,0
LNUG,20170331,0
LNUG,20170401,0
LNUG,20170402,0
LNUG,20170403,0
LNUG,20170404,0
LNUG,20170405,0
LNUG,20170406,0
LNUG,20170407,0
LNUG,20170408,0
LNUG,20170409,0
LNUG,20170410,0
